index,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales,d__Bacteria;p__Bdellovibrionota_E;c__Bdellovibrionia_A_473294;o__Bdellovibrionales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A_504723,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__CACIAM-69d,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_592522,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A_501396,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_592524,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia_401430;o__Acidimicrobiales,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_877923,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__UBA7656,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A_504721,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A_502138,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A_501186,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales_616009,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A_500472,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_650612,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A_504705,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597441,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A_501059,d__Bacteria;p__Bdellovibrionota_E;c__Oligoflexia;o__Oligoflexales,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A_501582,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales_608018,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Sporichthyales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Leptolyngbyales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales
Church.F.28,13.0,1414.0,11.0,134.0,7.0,44.0,378.0,121.0,3.0,121.0,264.0,85.0,101.0,1371.0,2.0,0.0,840.0,26.0,384.0,73.0,16.0,75.0,8.0,488.0,85.0,55.0,6.0,50.0,71.0,0.0,2.0,112.0,207.0,85.0,0.0,9.0,689.0,0.0,54.0,75.0,0.0,0.0,160.0,12.0,14739.0,0.0,0.0,0.0,44.0,11.0
Well.F.92,45.0,1160.0,15.0,82.0,14.0,152.0,750.0,36.0,19.0,257.0,2309.0,173.0,32.0,1090.0,72.0,16.0,1697.0,102.0,237.0,72.0,52.0,117.0,66.0,577.0,23.0,211.0,11.0,33.0,46.0,14.0,23.0,334.0,63.0,212.0,13.0,191.0,79.0,18.0,61.0,182.0,47.0,25.0,141.0,0.0,8596.0,37.0,19.0,17.0,0.0,3.0
