# Constructed from biom file
#OTU ID	Church.F.28	Well.F.92
MJ032-1-barcode26-umi57439bins-ubs-5	19.0	4.0
MJ030-2-barcode58-umi42066bins-ubs-22	2.0	15.0
AY559428	76.0	42.0
MJ034-1-barcode25-umi17353bins-ubs-17	23.0	5.0
MJ030-2-barcode59-umi110313bins-ubs-3	0.0	10.0
GB-GCA-004299445.1-SCTC01000039.1	0.0	10.0
MJ030-2-barcode59-umi41742bins-ubs-16	0.0	10.0
RS-GCF-009711935.1-NZ-VIKX01000317.1	20.0	0.0
AB369258	15.0	0.0
RS-GCF-014696565.1-NZ-JACJQK010000116.1	0.0	90.0
MJ032-1-barcode26-umi13282bins-ubs-32	142.0	6.0
MJ032-1-barcode26-umi71196bins-ubs-3	86.0	277.0
MJ020-2-barcode70-umi56403bins-ubs-6	0.0	21.0
MJ030-2-barcode59-umi102222bins-ubs-5	0.0	18.0
MJ034-1-barcode37-umi930bins-ubs-398	15.0	0.0
MJ032-2-barcode69-umi49925bins-ubs-11	0.0	18.0
MJ030-1-barcode42-umi73038bins-ubs-6	2.0	17.0
MJ030-2-barcode58-umi105534bins-ubs-3	43.0	0.0
MJ034-1-barcode37-umi19267bins-ubs-11	273.0	76.0
MJ030-2-barcode50-umi43457bins-ubs-15	85.0	1017.0
MJ007-2-barcode68-umi11127bins-ubs-32	14.0	0.0
MJ030-2-barcode59-umi28470bins-ubs-24	0.0	10.0
MJ032-1-barcode26-umi38346bins-ubs-10	39.0	179.0
G003669285	54.0	61.0
G001567185	3.0	13.0
MJ030-2-barcode58-umi44348bins-ubs-17	0.0	73.0
MJ020-1-barcode45-umi78741bins-ubs-5	18.0	66.0
MJ010-2-barcode71-umi148685bins-ubs-3	17.0	0.0
RS-GCF-015904235.1-NZ-JADZLT010000042.1	11.0	0.0
MJ030-1-barcode25-umi18764bins-ubs-25	0.0	47.0
RS-GCF-016772315.1-NZ-CP053482.1--2	0.0	25.0
GB-GCA-000500915.1-AYNO01000221.1	137.0	541.0
MJ030-2-barcode59-umi110411bins-ubs-3	100.0	10.0
RS-GCF-014647815.1-NZ-BMPX01000104.1	8.0	7.0
G001679665	2.0	19.0
MJ032-1-barcode26-umi31215bins-ubs-12	0.0	11.0
FR714843	150.0	118.0
MK209068	20.0	48.0
MJ032-1-barcode26-umi42145bins-ubs-8	21.0	2.0
KU055631	12.0	0.0
MJ030-2-barcode58-umi100253bins-ubs-4	16.0	611.0
MJ030-2-barcode59-umi39172bins-ubs-20	0.0	17.0
MJ034-1-barcode40-umi18984bins-ubs-21	45.0	0.0
MJ030-2-barcode59-umi53923bins-ubs-12	0.0	87.0
MG209703	64.0	0.0
HE573746	24.0	2.0
MJ030-2-barcode58-umi95976bins-ubs-4	0.0	91.0
KX263320	20.0	13.0
JN399172	9.0	9.0
AJ227783	10.0	0.0
KR052095	29.0	0.0
MJ034-1-barcode33-umi13084bins-ubs-25	2.0	8.0
RS-GCF-014697105.1-NZ-JACJRF010000105.1	24.0	0.0
MJ030-2-barcode59-umi64995bins-ubs-10	33.0	0.0
MJ030-2-barcode59-umi28442bins-ubs-23	0.0	14.0
MJ030-2-barcode59-umi28123bins-ubs-25	0.0	17.0
G004296775	14739.0	8596.0
G000428305	19.0	5.0
MJ031-1-barcode27-umi37887bins-ubs-4	0.0	11.0
MJ010-2-barcode71-umi92001bins-ubs-5	11.0	0.0
MJ030-2-barcode58-umi51634bins-ubs-13	34.0	0.0
HQ392507	38.0	0.0
RS-GCF-001556635.1-NZ-LSJF01000595.1	7.0	27.0
MJ032-1-barcode26-umi59448bins-ubs-4	0.0	12.0
