"","domain","phylum","class","order","family","genus","species","Confidence"
"G004296775","Bacteria"," Bacteroidota"," Bacteroidia"," Bacteroidales"," Marinilabiliaceae"," JC017"," JC017 sp004296775"," 1"
"MH633716","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_504705"," Beijerinckiaceae"," Bosea"," Bosea caraganae"," 1"
"KC222641","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_502138"," Devosiaceae"," Paradevosia"," Paradevosia shaoguanensis"," 1"
"MJ030-2-barcode58-umi108896bins-ubs-3","Bacteria"," Verrucomicrobiota"," Verrucomicrobiae"," Pedosphaerales"," UBA11358"," UBA11358"," "," 1"
"LC094486","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_592522"," Burkholderiaceae_A_592522"," Aquabacterium_A"," Aquabacterium_A pictum"," 1"
"GB-GCA-900465755.1-UBJZ01000036.1","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_501186"," Rhizobiaceae_A_501186"," "," "," 1"
"MJ030-2-barcode58-umi95976bins-ubs-4","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_592522"," Burkholderiaceae_A_592522"," Aquincola"," Aquincola tertiaricarbonis"," 1"
"MJ030-2-barcode58-umi119635bins-ubs-3","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_504723"," Aestuariivirgaceae"," Aestuariivirga"," Aestuariivirga litoralis"," 1"
"RS-GCF-004959785.1-NZ-SJZH01000033.1","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae"," Tabrizicola_494022"," "," 1"
"RS-GCF-005222805.1-NZ-STGC01000003.1","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_502138"," Devosiaceae"," Devosia_A_502124"," "," 1"
"RS-GCF-002368195.1-NZ-AP018178.1","Bacteria"," Cyanobacteria"," Cyanobacteriia"," Cyanobacteriales"," Nostocaceae_28012"," Aulosira"," Aulosira diplosiphon"," 1"
"MJ032-1-barcode26-umi71196bins-ubs-3","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_592522"," Burkholderiaceae_A_592522"," Ideonella_A_591966"," "," 1"
"HF544321","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Sphingomonadales"," Sphingomonadaceae"," Sphingopyxis"," Sphingomonas fonticola"," 1"
"MJ034-1-barcode38-umi15628bins-ubs-18","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_592522"," Burkholderiaceae_A_592522"," Rubrivivax"," "," 1"
"GB-GCA-000500915.1-AYNO01000221.1","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae"," Rhodobacter_B_493776"," "," 1"
"JX843738","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_504721"," Hyphomicrobiaceae"," Hyphomicrobium_A"," Hyphomicrobium_A aestuarii"," 1"
"RS-GCF-012583295.1-NZ-VIRO01000139.1","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Steroidobacterales"," Steroidobacteraceae"," ZC4RG30"," "," 1"
"MJ034-1-barcode32-umi20373bins-ubs-10","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_592522"," Burkholderiaceae_A_592522"," Piscinibacter"," "," 1"
"MK272785","Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales_877923"," Flavobacteriaceae"," Flavobacterium"," Flavobacterium silvisoli"," 1"
"MJ030-1-barcode42-umi73038bins-ubs-6","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_592522"," Burkholderiaceae_A_592522"," Hydrogenophaga_590395"," "," 1"
"G000428305","Bacteria"," Verrucomicrobiota"," Verrucomicrobiae"," Verrucomicrobiales"," Akkermansiaceae"," "," "," 1"
"MJ020-1-barcode45-umi78741bins-ubs-5","Bacteria"," Cyanobacteria"," Cyanobacteriia"," Cyanobacteriales"," Coleofasciculaceae_23353"," SIO2C1"," SIO2C1 sp010672925"," 1"
"G001567185","Bacteria"," Bacteroidota"," Bacteroidia"," Cytophagales"," Cyclobacteriaceae_900466"," ELB16-189"," ELB16-189 sp001567185"," 1"
"MJ030-2-barcode58-umi89379bins-ubs-5","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_592522"," Burkholderiaceae_A_592522"," "," "," 1"
"MJ032-1-barcode26-umi15233bins-ubs-30","Bacteria"," Cyanobacteria"," Cyanobacteriia"," Cyanobacteriales"," Coleofasciculaceae_23353"," SIO2C1"," SIO2C1 sp010672925"," 1"
"C4",NA,NA,NA,NA,NA,NA,NA,NA
"C1",NA,NA,NA,NA,NA,NA,NA,NA
"C10",NA,NA,NA,NA,NA,NA,NA,NA
"C12",NA,NA,NA,NA,NA,NA,NA,NA
"C5",NA,NA,NA,NA,NA,NA,NA,NA
"C7",NA,NA,NA,NA,NA,NA,NA,NA
"C2",NA,NA,NA,NA,NA,NA,NA,NA
"W6",NA,NA,NA,NA,NA,NA,NA,NA
"C13",NA,NA,NA,NA,NA,NA,NA,NA
"W15",NA,NA,NA,NA,NA,NA,NA,NA
"W7.2",NA,NA,NA,NA,NA,NA,NA,NA
"W5",NA,NA,NA,NA,NA,NA,NA,NA
"W9B",NA,NA,NA,NA,NA,NA,NA,NA
"C3",NA,NA,NA,NA,NA,NA,NA,NA
"W7",NA,NA,NA,NA,NA,NA,NA,NA
"W8B",NA,NA,NA,NA,NA,NA,NA,NA
"W4",NA,NA,NA,NA,NA,NA,NA,NA
"W17",NA,NA,NA,NA,NA,NA,NA,NA
"W10",NA,NA,NA,NA,NA,NA,NA,NA
"C11",NA,NA,NA,NA,NA,NA,NA,NA
