"","domain","phylum","class","order","family","genus","species","Confidence"
"MJ030-2-barcode59-umi58934bins-ubs-10","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_504721"," Hyphomicrobiaceae"," "," "," 1"
"G000160775","Bacteria"," Actinobacteriota"," Actinomycetia"," Propionibacteriales"," Nocardioidaceae"," Aeromicrobium"," Aeromicrobium marinum"," 1"
"AM232810","Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales_877923"," Weeksellaceae"," Chryseobacterium_796614"," Chryseobacterium gambrini"," 1"
"KJ721000","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_504705"," Beijerinckiaceae"," Bosea"," Bosea vaviloviae_B_503600"," 1"
"MJ010-2-barcode71-umi45255bins-ubs-12","Bacteria"," Cyanobacteria"," Cyanobacteriia"," Cyanobacteriales"," Coleofasciculaceae_23353"," SIO2C1"," SIO2C1 sp010672925"," 1"
"MJ030-2-barcode58-umi105534bins-ubs-3","Bacteria"," Verrucomicrobiota"," Verrucomicrobiae"," Verrucomicrobiales"," Verrucomicrobiaceae"," Prosthecobacter"," "," 1"
"EU857676","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae"," Rubribacterium"," Rubribacterium polymorphum"," 1"
"RS-GCF-019039055.1-NZ-JAHOPB010000001.1","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Reyranellales"," Reyranellaceae"," Reyranella"," Reyranella aquatilis"," 1"
"MJ020-2-barcode52-umi82100bins-ubs-4","Bacteria"," Verrucomicrobiota"," Verrucomicrobiae"," Verrucomicrobiales"," Akkermansiaceae"," Luteolibacter_776538"," "," 1"
"MJ032-1-barcode26-umi42145bins-ubs-8","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_504723"," Aestuariivirgaceae"," Aestuariivirga"," Aestuariivirga litoralis"," 1"
"RS-GCF-014697105.1-NZ-JACJRF010000105.1","Bacteria"," Cyanobacteria"," Cyanobacteriia"," Cyanobacteriales"," Nostocaceae_28012"," "," "," 1"
"MJ030-2-barcode58-umi55135bins-ubs-11","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_592522"," Burkholderiaceae_A_592522"," Hydrogenophaga_590395"," "," 1"
"MJ030-2-barcode59-umi110313bins-ubs-3","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_501396"," Rhizobiaceae_A_499470"," Aquamicrobium_A_498489"," "," 1"
"G000829235","Bacteria"," Cyanobacteria"," Cyanobacteriia"," Cyanobacteriales"," Microcystaceae_A_24131"," Rippkaea"," Rippkaea sp000829235"," 1"
"MJ030-2-barcode58-umi90251bins-ubs-5","Bacteria"," Verrucomicrobiota"," Verrucomicrobiae"," Verrucomicrobiales"," Akkermansiaceae"," Luteolibacter_776538"," "," 1"
"MJ030-2-barcode59-umi64995bins-ubs-10","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Steroidobacterales"," Steroidobacteraceae"," "," "," 1"
"KX456191","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae"," Paracoccus"," Paracoccus hibiscisoli"," 1"
"MG209703","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_501582"," Pleomorphomonadaceae"," Mongoliimonas_497342"," Mongoliimonas rhizosphaerae"," 1"
"MJ030-2-barcode59-umi106076bins-ubs-3","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Sphingomonadales"," Sphingomonadaceae"," Parablastomonas"," "," 1"
"HM037996","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_504721"," Hyphomicrobiaceae"," "," "," 1"
"AJ227759","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Caulobacterales"," Caulobacteraceae"," Caulobacter_487784"," Caulobacter fusiformis"," 1"
"MJ030-2-barcode58-umi51634bins-ubs-13","Bacteria"," Bacteroidota"," Bacteroidia"," Chitinophagales"," Saprospiraceae"," Haliscomenobacter"," Haliscomenobacter hydrossis"," 1"
"RS-GCF-017813355.1-NZ-JAGIYZ010000050.1","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Acetobacterales"," Acetobacteraceae"," Roseomonas_B"," "," 1"
"MJ030-2-barcode58-umi101110bins-ubs-4","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_504723"," Aestuariivirgaceae"," Aestuariivirga"," Aestuariivirga litoralis"," 1"
"G001679665","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Caulobacterales"," TH1-2"," Terricaulis_486960"," Terricaulis sp001679665"," 1"
"MJ030-2-barcode58-umi56637bins-ubs-11","Bacteria"," Cyanobacteria"," Cyanobacteriia"," Cyanobacteriales"," "," "," "," 1"
