Feature.ID,Church.F.28,Well.F.92
MJ030-1-barcode25-umi18764bins-ubs-25,0,47
MJ032-1-barcode26-umi38346bins-ubs-10,39,179
RS-GCF-012583295.1-NZ-VIRO01000139.1,31,18
MJ032-1-barcode26-umi60254bins-ubs-4,189,0
LN832063,671,62
AJ879783,0,16
MJ030-2-barcode58-umi53282bins-ubs-13,6,75
MJ030-2-barcode58-umi42066bins-ubs-22,2,15
MJ030-2-barcode58-umi19344bins-ubs-33,8,3
HE573746,24,2
MJ030-2-barcode58-umi57852bins-ubs-10,11,0
MJ007-2-barcode68-umi1820bins-ubs-263,0,17
MK209068,20,48
MJ030-2-barcode58-umi105534bins-ubs-3,43,0
RS-GCF-900103325.1-NZ-FMXM01000107.1,0,45
AB899817,0,17
KX263320,20,13
MJ030-2-barcode59-umi53923bins-ubs-12,0,87
MJ030-2-barcode58-umi55135bins-ubs-11,13,23
MJ030-2-barcode59-umi24098bins-ubs-26,11,8
MJ031-2-barcode58-umi467bins-ubs-506,0,76
JQ608324,9,28
G000695095,11,3
MJ030-2-barcode58-umi111364bins-ubs-3,0,13
GB-GCA-016712445.1-JADJRB010000001.1,26,37
MJ034-1-barcode33-umi11315bins-ubs-32,16,8
MJ007-2-barcode68-umi11127bins-ubs-32,14,0
KJ647399,20,6
MJ030-2-barcode59-umi76314bins-ubs-7,0,16
AY559428,76,42
MJ030-2-barcode59-umi99622bins-ubs-4,21,29
MJ031-1-barcode30-umi4885bins-ubs-90,13,85
G000160775,2,23
MJ030-2-barcode59-umi106076bins-ubs-3,0,18
MJ032-2-barcode69-umi49925bins-ubs-11,0,18
MJ030-2-barcode59-umi54080bins-ubs-11,3,19
MJ020-2-barcode70-umi18336bins-ubs-31,15,12
MJ030-2-barcode59-umi27748bins-ubs-22,9,150
MJ030-2-barcode50-umi43457bins-ubs-15,85,1017
MH032761,35,0
MJ031-1-barcode30-umi16295bins-ubs-28,11,0
MJ031-2-barcode67-umi30463bins-ubs-16,1,45
G000734895,27,17
MG209703,64,0
MJ034-1-barcode25-umi17353bins-ubs-17,23,5
MJ030-2-barcode59-umi10920bins-ubs-46,0,31
MJ010-1-barcode25-umi117011bins-ubs-5,12,0
MJ030-2-barcode58-umi108896bins-ubs-3,12,0
KC222641,57,4
MJ030-2-barcode58-umi76956bins-ubs-7,0,29
MF543060,52,5
G001567185,3,13
MJ032-1-barcode26-umi15233bins-ubs-30,0,10
MJ030-2-barcode58-umi100027bins-ubs-4,23,21
MJ030-2-barcode59-umi28123bins-ubs-25,0,17
MJ030-2-barcode58-umi103533bins-ubs-3,26,1
MJ030-2-barcode59-umi58934bins-ubs-10,9,45
MJ030-2-barcode58-umi119635bins-ubs-3,16,0
MJ030-2-barcode58-umi39254bins-ubs-18,76,54
MJ031-1-barcode30-umi34495bins-ubs-5,0,28
RS-GCF-006443685.1-NZ-VFYP01000012.1,48,25
MJ031-1-barcode27-umi13837bins-ubs-35,0,243
MJ030-1-barcode25-umi10318bins-ubs-40,0,19
GB-GCA-016794205.1-JAEUIJ010000002.1,9,39
MJ030-1-barcode25-umi46256bins-ubs-11,0,15
G000428305,19,5
KJ095109,217,54
EU857676,10,0
MJ010-2-barcode71-umi45255bins-ubs-12,0,34
MJ010-2-barcode71-umi52551bins-ubs-11,56,0
MJ034-1-barcode37-umi20902bins-ubs-10,19,24
