Churchill	Y	6	95	2	3301	537.783	2965	569.833	11	27447	1026.897	22335	1032.053	2366
Churchill	N	2	96											3682
Churchill	Y	4	97	2	2131	702.247	1522	547.506	5	11087	727.851	9919	733.322	5386
Wellspring	N	8	98											33
Churchill	Y	1	99	2	2532	565.531	2082	623.505	5	9469	737.515	7790	746.753	4683
Churchill	Y	3	100	1	2207	481.999	1815	478.829	6	9964	611.314	9179	667.126	710
Churchill	Y	8	101	2	3468	595.574	2844	667.548	11	24519	1001.135	21821	958.633	3352
Wellspring	N	7	102											462
Churchill	Y	10	103	3	4440	673.417	4109	785.028	10	21452	996.34	17415	997.462	2716
Wellspring	Y	6	104	1	2792	674.052	2508	601.539	11	32953	1412.089	27350	1430.217	189
Wellspring	N	10	105											6301
Churchill	N	7	106											56.1
Churchill	Y	1	107	1	1694	579.243	1298	539.242	4	5908	621.618	3539	729.897	3677
Churchill	Y	4	108	2	2533	571.33	2203	572.677	7	11880	714.866	9562	675.562	2599
Churchill	N	4	109											6635
Wellspring	N	7	110											859
Wellspring	N	1	111											7142
Wellspring	N	3	112											2493
Churchill	N	7	113											53.9
Wellspring	N	All10	114											4286
Churchill	Y	2	115	2	3481	635.519	2913	566.038	12	21949	1033.367	17296	1069.122	11419
Wellspring	Y	10	116	3	6720	588.425	6009	709.687	11	30650	1292.589	26361	1300.838	3259
Wellspring	Y	9	117	2	2591	498.971	2097	621.327	12	33760	1229.18	30082	1274.168	5635
Churchill	Y	7	118	1	2809	454.651	2156	608.859	6	15047	829.02	12736	914.381	3808
Wellspring	N	1	119											89.1
Wellspring	Y	10	120	2	4395	741.159	3838	659.83	13	38769	1176.407	33682	1202.034	8219
Churchill	Y	4	121	2	5375	693.572	4785	726.464	15	38470	1141.384	34359	1221.846	6351
Wellspring	N	9	122											67.1
Wellspring	N	8	123											23.1
Churchill	Y	3	124	1	2540	607.438	2251	533.745	4	7653	632.182	6988	689.011	2687
Churchill	N	10	125											168
Churchill	N	9	126											3102
Wellspring	N	5	127											77
Wellspring	N	3	128											1250
Churchill	N	10	129											102
Churchill	Y	7	130	2	2288	704.288	2029	655.934	7	10157	830.287	7420	895.754	2346
Wellspring	N	7	131											525
Wellspring	Y	5	132	2	3018	513.691	2816	621.986	12	31626	1235.188	22898	1275.105	1861
Wellspring	N	2	133											393
Wellspring	N	6	134											279
Churchill	Y	9	135	2	1896	459.59	1765	496.398	3	4169	723.638	3497	670.017	2133
Wellspring	Y	4	136	1	3469	483.901	3180	563.104	13	47631	1242.068	38330	1260.572	5475
Churchill	Y	Control	137	1	1738	361.914	1387	433.638	7	16491	819.683	10910	899.824	2392
Wellspring	Y	9	138	2	4703	772.572	4200	628.97	13	34542	1172.1	24496	1206.214	4539
Wellspring	Y	Control	139	2	5475	615.805	5154	721.579	11	24674	1084.935	17028	1206.662	2885
Wellspring	Y	Control	140	1	2276	463.475	2070	514.416	7	21531	1104.01	16234	1144.106	1971
Churchill	Y	9	141	3	3808	596.789	3440	561.252	10	22101	967.921	17999	925.905	6116
Churchill	N	5	142											116
Churchill	Y	8	143	1	1694	540.602	1352	627.343	5	8565	685.506	5214	857.053	1046
Churchill	N	6	144											1058
Churchill	N	1	145											101
Churchill	N	5	146											78.1
Wellspring	Y	6	147	1	1778	512.925	1410	569.713	7	21221	974.179	17861	1173.604	402
Churchill	Y	9	148	1	1583	601.347	1234	526.513	4	6473	689.522	5524	753.224	1040
Wellspring	N	10	149											210
Churchill	Y	4	150	3	3469	477.003	3151	502.581	5	6788	993.406	5941	1026.786	1462
Churchill	Y	7	151	1	3214	561.852	2697	614.412	6	13367	849.072	11359	734.77	1955
Churchill	N	6	152											680
Churchill	Y	1	153	2	3545	609.878	3143	628.677	8	17308	903.053	15484	926.462	4469
Churchill	Y	8	154	1	1621	491.594	1269	398.367	7	11131	795.241	8841	734.756	1318
Wellspring	Y	4	155	1	1864	487.237	1587	527.1	7	17919	915.26	14216	984.852	6946
Wellspring	Y	8	156	2	3792	540.31	3507	623.691	13	30321	1091.12	26130	1209.484	1526
Churchill	Y	All10	157	1	2386	693.765	1989	554.162	9	26851	1029.94	21190	1086.617	5530
Wellspring	Y	6	158	2	2262	636.284	1884	574.643	11	31298	1254.628	27279	1264.339	815
Wellspring	Y	10	159	2	3316	619.365	2948	536.566	11	32241	1169.862	29983	1170.693	3846
Wellspring	Y	4	160	2	3717	648.564	3333	623.791	7	11765	836.272	9282	847.563	1180
